date,listingid,tokenid,breedcount,gender,bloodline,breedtype,energy,total_races,win,lose,speed,strength,wind,water,fire,lighting,canrace,canbreed,priceFloor,price,lastbreedtime,bornUsableBreed,bornUsableRace,minutesToSell
2022-02-16 00:43:48,181272,157176,0,Male,Hoz,Pacer,9,136,36,100,6.87,3.19,6.54,3.87,1.6,,1,1.0,989.0769230769232,1.363897962358065,0,-204595.0,-463795.0,21.033333333333335
2022-02-16 00:39:54,181246,152420,3,Male,Hoz,Pacer,11,151,33,118,7.26,3.92,8.83,3.16,3.16,,1,0.0,989.0769230769232,0.8078239228495878,1644932654,-305004.0,-564204.0,24.633333333333333
2022-02-16 00:51:41,181203,89081,3,Male,Hoz,Pacer,18,462,98,364,6.24,3.0,1.09,3.59,4.38,,1,1.0,989.0769230769232,0.7532275626069374,1643541987,-1775446.0,-2034646.0,48.43333333333333
2022-02-16 00:50:18,181144,159199,0,Female,Hoz,Pacer,4,133,37,96,3.97,3.14,1.16,3.46,4.78,,1,1.0,989.0769230769232,1.4963446881319022,0,-157288.0,-416488.0,62.46666666666667
2022-02-16 00:40:59,181142,107147,3,Male,Hoz,Pacer,1,323,101,222,8.45,0.61,3.8,6.55,2.04,,1,1.0,989.0769230769232,1.0615958936070928,1644356523,-1267481.0,-1526681.0,53.56666666666667
2022-02-16 00:51:40,181121,81391,3,Female,Hoz,Pacer,10,604,132,472,4.37,4.94,3.45,6.83,5.27,,1,1.0,989.0769230769232,0.7410950381085706,1643345462,-2029968.0,-2289168.0,70.36666666666666
2022-02-16 00:39:57,181120,152545,3,Male,Hoz,Pacer,25,143,32,111,1.82,8.91,8.22,5.99,1.19,,1,0.0,989.0769230769232,0.7734484367708819,1644967909,-303186.0,-562386.0,59.53333333333333
2022-02-16 01:01:36,181384,186938,0,Female,Hoz,Pacer,25,0,0,0,8.13,3.17,7.77,8.93,7.05,,0,0.0,967.3846153846154,1.2590648854961832,0,329665.0,70465.0,1.7333333333333334
2022-02-16 01:06:33,181381,183890,0,Female,Hoz,Pacer,25,0,0,0,6.19,5.72,5.49,3.67,2.76,,0,0.0,967.3846153846154,1.239424300254453,0,281845.0,22645.0,7.833333333333333
2022-02-16 00:57:22,181368,148288,2,Male,Hoz,Pacer,10,196,60,136,3.44,7.41,5.42,6.46,5.83,,1,1.0,967.3846153846154,0.9706583969465647,1644893120,-406000.0,-665200.0,2.7
2022-02-16 00:57:20,181365,135184,3,Female,Hoz,Pacer,1,244,56,188,0.34,4.77,4.61,8.23,1.0,,1,1.0,967.3846153846154,0.762881679389313,1644811827,-699068.0,-958268.0,2.1
2022-02-16 00:56:13,181360,110158,2,Female,Hoz,Pacer,19,399,128,271,5.54,7.04,4.83,7.59,4.79,,1,1.0,967.3846153846154,1.02337786259542,1643907378,-1190535.0,-1449735.0,1.3666666666666667
2022-02-16 01:04:15,181355,184432,0,Female,Hoz,Pacer,25,0,0,0,0.59,5.31,3.51,0.83,4.49,,0,0.0,967.3846153846154,1.2094465648854962,0,290301.0,31101.0,9.866666666666667
2022-02-16 00:56:17,181354,107863,3,Male,Campona,Pacer,0,388,84,304,6.37,7.61,1.15,8.65,4.86,,1,0.0,967.3846153846154,0.7618479643765903,1644889353,-1251878.0,-1424678.0,2.4
2022-02-16 01:06:33,181352,130866,2,Male,Hoz,Pacer,4,308,66,242,0.64,3.09,7.16,2.78,1.94,,1,1.0,967.3846153846154,0.7752862595419847,1644645426,-789870.0,-1049070.0,12.833333333333334
2022-02-16 00:54:10,181350,129946,3,Female,Hoz,Pacer,7,306,76,230,0.56,6.39,2.56,3.3,8.51,,1,0.0,967.3846153846154,0.7752862595419847,1644951070,-811949.0,-1071149.0,1.6333333333333333
2022-02-16 01:00:12,181340,154010,3,Male,Hoz,Pacer,0,167,39,128,2.95,8.18,2.42,2.47,2.88,,1,0.0,967.3846153846154,0.7649491094147582,1644940866,-269981.0,-529181.0,10.933333333333334
2022-02-16 01:06:34,181336,140124,2,Female,Hoz,Pacer,11,238,52,186,1.84,1.65,5.63,0.86,5.28,,1,1.0,967.3846153846154,0.7752862595419847,1644645426,-590568.0,-849768.0,18.866666666666667
2022-02-16 00:54:06,181334,140714,3,Male,Hoz,Pacer,5,190,45,145,1.31,2.33,4.99,8.28,0.42,,1,1.0,967.3846153846154,0.762881679389313,1644811827,-574332.0,-833532.0,6.4
2022-02-16 00:56:13,181331,138306,3,Female,Hoz,Pacer,1,264,69,195,5.09,0.0,8.23,0.55,8.46,,1,1.0,967.3846153846154,0.8269616730279898,1644772874,-632783.0,-891983.0,9.033333333333331
2022-02-16 00:53:03,181330,105657,2,Female,Zan,Pacer,2,361,94,267,8.47,1.79,8.52,4.08,4.11,,1,1.0,967.3846153846154,0.8321405852417303,1644293775,-1311804.0,-1311804.0,8.2
2022-02-16 00:54:07,181328,128680,2,Male,Hoz,Pacer,25,281,57,224,1.43,1.05,4.59,0.6,3.82,,1,1.0,967.3846153846154,0.794926844783715,1644840468,-832668.0,-1091868.0,9.233333333333333
2022-02-16 00:58:38,181319,142301,2,Male,Campona,Pacer,25,120,24,96,7.97,8.29,5.65,0.42,4.17,,1,0.0,967.3846153846154,0.8011291348600509,1644970543,-537707.0,-710507.0,17.433333333333334
2022-02-16 01:06:29,181256,153571,3,Female,Hoz,Pacer,2,169,37,132,2.51,8.68,8.68,7.23,7.88,,1,0.0,967.3846153846154,0.7639153944020356,1644970039,-283482.0,-542682.0,47.3
2022-02-16 01:04:14,181230,157360,2,Female,Hoz,Pacer,2,147,32,115,1.33,1.86,7.22,3.02,1.71,,1,0.0,967.3846153846154,0.7690839694656488,1644899186,-200483.0,-459683.0,51.4
2022-02-16 01:00:13,181191,115640,3,Female,Hoz,Pacer,4,392,83,309,2.87,4.68,7.98,6.17,2.6,,1,1.0,967.3846153846154,0.7701176844783715,1644796244,-1096530.0,-1355730.0,59.1
